time	V(vgate)	V(vout)	I(D3)
1.372491662623624e-006	2.487871e-002	4.767177e+000	2.703268e-003
1.379327600123625e-006	2.827233e-002	4.789372e+000	2.607802e-003
1.386163537623625e-006	3.002609e-002	4.809123e+000	2.382580e-003
1.392999475123625e-006	3.010890e-002	4.825460e+000	2.044874e-003
1.399835412623625e-006	2.858398e-002	4.837644e+000	1.617550e-003
1.406671350123625e-006	2.560090e-002	4.845190e+000	1.127616e-003
1.413507287623625e-006	2.138325e-002	4.847889e+000	6.045742e-004
1.420343225123625e-006	1.621561e-002	4.845836e+000	7.846448e-005
1.427025449585847e-006	1.054872e-002	4.839501e+000	-4.103017e-004
1.433861387085847e-006	4.461506e-003	4.829150e+000	-8.577284e-004
1.440697324585847e-006	-1.580869e-003	4.815711e+000	-1.231542e-003
1.447078695421118e-006	-6.879083e-003	4.801084e+000	-1.495124e-003
1.453914632921118e-006	-1.190047e-002	4.784141e+000	-1.674352e-003
1.460750570421118e-006	-1.602156e-002	4.766929e+000	-1.744745e-003
1.467586507921118e-006	-1.904108e-002	4.750413e+000	-1.705075e-003
1.474422445421118e-006	-2.083382e-002	4.735515e+000	-1.561892e-003
1.481258382921118e-006	-2.134637e-002	4.723028e+000	-1.327235e-003
1.488094320421118e-006	-2.059771e-002	4.713582e+000	-1.017728e-003
1.494930257921118e-006	-1.867584e-002	4.707614e+000	-6.534676e-004
1.501766195421118e-006	-1.573077e-002	4.705353e+000	-2.567659e-004
1.508602132921118e-006	-1.196931e-002	4.706773e+000	1.494414e-004
1.515128992891762e-006	-7.824913e-003	4.711466e+000	5.248085e-004
1.521964930391762e-006	-3.161173e-003	4.719441e+000	8.858365e-004
1.528033650060143e-006	1.036896e-003	4.728768e+000	1.162700e-003
1.534535382442665e-006	5.364851e-003	4.740624e+000	1.398739e-003
1.541371319942665e-006	9.503242e-003	4.754351e+000	1.572660e-003
1.548207257442665e-006	1.301630e-002	4.768634e+000	1.664057e-003
1.555043194942665e-006	1.572919e-002	4.782714e+000	1.670133e-003
1.561879132442665e-006	1.752234e-002	4.795850e+000	1.593753e-003
1.568715069942665e-006	1.833236e-002	4.807381e+000	1.442228e-003
1.575551007442665e-006	1.815316e-002	4.816760e+000	1.226754e-003
1.582386944942665e-006	1.703380e-002	4.823581e+000	9.616544e-004
1.589222882442665e-006	1.507340e-002	4.827595e+000	6.634737e-004
1.596058819942665e-006	1.241346e-002	4.828717e+000	3.499794e-004
1.602894757442665e-006	9.228272e-003	4.827026e+000	3.912758e-005
1.609730694942666e-006	5.714026e-003	4.822753e+000	-2.519461e-004
1.616566632442666e-006	2.069514e-003	4.816336e+000	-5.102869e-004
1.622145644417069e-006	-8.567382e-004	4.809731e+000	-6.852866e-004
1.628408106451565e-006	-3.928360e-003	4.801228e+000	-8.332549e-004
1.635244043951565e-006	-6.888854e-003	4.791299e+000	-9.357505e-004
1.642079981451565e-006	-9.305434e-003	4.781250e+000	-9.736688e-004
1.648915918951565e-006	-1.105881e-002	4.771650e+000	-9.462165e-004
1.655751856451565e-006	-1.207723e-002	4.763045e+000	-8.574779e-004
1.662587793951565e-006	-1.233206e-002	4.755901e+000	-7.147767e-004
1.669423731451565e-006	-1.183788e-002	4.750590e+000	-5.281388e-004
1.676259668951565e-006	-1.065019e-002	4.747364e+000	-3.096270e-004
1.683095606451565e-006	-8.860935e-003	4.746351e+000	-7.259250e-005
1.689931543951565e-006	-6.592114e-003	4.747553e+000	1.691138e-004
1.696767481451565e-006	-3.987935e-003	4.750848e+000	4.019238e-004
1.703603418951566e-006	-1.204201e-003	4.755959e+000	6.144649e-004
1.709563934660370e-006	1.249790e-003	4.761690e+000	7.743645e-004
1.715312724121993e-006	3.522962e-003	4.768152e+000	8.972604e-004
1.722148661621993e-006	5.984759e-003	4.776550e+000	1.000324e-003
1.728984599121993e-006	8.082081e-003	4.785261e+000	1.055397e-003
1.735820536621993e-006	9.705232e-003	4.793858e+000	1.059571e-003
1.742656474121993e-006	1.078237e-002	4.801897e+000	1.014525e-003
1.749492411621993e-006	1.127487e-002	4.808984e+000	9.245970e-004
1.756328349121993e-006	1.117814e-002	4.814793e+000	7.964471e-004
1.763164286621993e-006	1.052045e-002	4.819078e+000	6.386034e-004
1.770000224121993e-006	9.360009e-003	4.821691e+000	4.609209e-004
