time	V(vgate)	V(n005)	I(D1)
4.998293537710644e-006	1.671936e-002	0.000000e+000	7.156889e-004
5.003987658703948e-006	1.532059e-002	0.000000e+000	6.126462e-004
5.008273857105577e-006	1.330947e-002	0.000000e+000	5.208781e-004
5.011445004224697e-006	1.137604e-002	0.000000e+000	4.503769e-004
5.015826318067643e-006	8.345284e-003	0.000000e+000	3.560357e-004
5.019824443458047e-006	5.443370e-003	0.000000e+000	2.779689e-004
5.024231019647775e-006	2.276892e-003	0.000000e+000	2.055197e-004
5.028197512685274e-006	-3.713826e-004	0.000000e+000	1.554379e-004
5.031956980957917e-006	-2.559585e-003	0.000000e+000	1.240172e-004
5.035682305691124e-006	-4.250348e-003	0.000000e+000	1.109923e-004
5.041323185788637e-006	-5.825572e-003	0.000000e+000	1.217895e-004
5.048008124834726e-006	-6.397308e-003	0.000000e+000	1.683939e-004
5.052719814948526e-006	-5.931488e-003	0.000000e+000	2.203769e-004
5.055715769991420e-006	-5.167529e-003	0.000000e+000	2.613870e-004
5.060052729992028e-006	-3.581598e-003	0.000000e+000	3.259066e-004
5.064119177561391e-006	-1.782516e-003	0.000000e+000	3.869906e-004
5.067858034564450e-006	7.026387e-005	0.000000e+000	4.407649e-004
5.071370728934166e-006	1.886880e-003	0.000000e+000	4.865577e-004
5.074711732160490e-006	3.577856e-003	0.000000e+000	5.227301e-004
5.079919522670697e-006	5.965346e-003	0.000000e+000	5.628910e-004
5.085736381865084e-006	8.045132e-003	0.000000e+000	5.828589e-004
5.093363089726585e-006	9.563001e-003	0.000000e+000	5.696748e-004
5.101795211713692e-006	9.730509e-003	0.000000e+000	5.160289e-004
5.107805694691327e-006	8.863797e-003	0.000000e+000	4.580055e-004
5.112320403672510e-006	7.676570e-003	0.000000e+000	4.071087e-004
5.115879574877245e-006	6.501171e-003	0.000000e+000	3.661606e-004
5.119527679991498e-006	5.168959e-003	0.000000e+000	3.260878e-004
5.123115308934393e-006	3.827199e-003	0.000000e+000	2.913690e-004
5.129055241401486e-006	1.699317e-003	0.000000e+000	2.454113e-004
5.133955630897586e-006	1.296471e-004	0.000000e+000	2.186541e-004
5.137140273215075e-006	-7.152198e-004	0.000000e+000	2.090669e-004
5.140375376640207e-006	-1.356706e-003	0.000000e+000	2.069239e-004
5.145048152793630e-006	-1.911314e-003	0.000000e+000	2.146376e-004
5.150726524830004e-006	-2.103107e-003	0.000000e+000	2.361582e-004
5.154538007130890e-006	-1.907809e-003	0.000000e+000	2.575021e-004
5.158330454335893e-006	-1.434074e-003	0.000000e+000	2.835034e-004
5.162076477875606e-006	-7.611879e-004	0.000000e+000	3.114650e-004
5.165949594897569e-006	9.760003e-005	0.000000e+000	3.410032e-004
5.169655573762564e-006	1.022901e-003	0.000000e+000	3.682947e-004
5.173254669161917e-006	1.966167e-003	0.000000e+000	3.920167e-004
5.178551323601889e-006	3.316525e-003	0.000000e+000	4.198999e-004
5.184420860129549e-006	4.605722e-003	0.000000e+000	4.388734e-004
5.191875018112741e-006	5.738192e-003	0.000000e+000	4.432323e-004
5.199988461204485e-006	6.231248e-003	0.000000e+000	4.260069e-004
5.207444643310580e-006	5.980752e-003	0.000000e+000	3.938313e-004
5.213259171412970e-006	5.337714e-003	0.000000e+000	3.612956e-004
5.218142706413244e-006	4.553900e-003	0.000000e+000	3.320245e-004
5.222260919789814e-006	3.788542e-003	0.000000e+000	3.080653e-004
5.225219835627090e-006	3.211410e-003	0.000000e+000	2.923786e-004
5.228899127293654e-006	2.505335e-003	0.000000e+000	2.757630e-004
5.233527313450757e-006	1.692786e-003	0.000000e+000	2.599094e-004
5.239091570375818e-006	8.801798e-004	0.000000e+000	2.484477e-004
5.244167776520732e-006	3.401066e-004	0.000000e+000	2.453724e-004
5.248343152191091e-006	7.533633e-005	0.000000e+000	2.483625e-004
5.251707101471972e-006	9.134138e-007	0.000000e+000	2.543720e-004
5.255449583439774e-006	5.981004e-005	0.000000e+000	2.641497e-004
5.259390232911229e-006	2.588549e-004	0.000000e+000	2.768688e-004
5.263542290269401e-006	6.055681e-004	0.000000e+000	2.919870e-004
5.268784184474425e-006	1.186435e-003	0.000000e+000	3.116836e-004
5.274509913504735e-006	1.917124e-003	0.000000e+000	3.315229e-004
5.281150453698177e-006	2.771802e-003	0.000000e+000	3.494338e-004
5.288358251402354e-006	3.554725e-003	0.000000e+000	3.599051e-004
5.296619085114555e-006	4.107325e-003	0.000000e+000	3.589658e-004
5.305990318914962e-006	4.233654e-003	0.000000e+000	3.439787e-004
5.313957512524636e-006	3.933764e-003	0.000000e+000	3.228642e-004
5.320257878741971e-006	3.457896e-003	0.000000e+000	3.032532e-004
5.325962684192261e-006	2.915383e-003	0.000000e+000	2.859764e-004
5.331494230419875e-006	2.368145e-003	0.000000e+000	2.717990e-004
5.337533230886168e-006	1.819991e-003	0.000000e+000	2.605299e-004
5.343058248579628e-006	1.431190e-003	0.000000e+000	2.552252e-004
5.350607846759336e-006	1.123619e-003	0.000000e+000	2.553805e-004
5.357972524301886e-006	1.074143e-003	0.000000e+000	2.619574e-004
5.364971181702940e-006	1.262740e-003	0.000000e+000	2.727104e-004
5.372490556353539e-006	1.654787e-003	0.000000e+000	2.860640e-004
5.380479655764839e-006	2.166041e-003	0.000000e+000	2.985765e-004
5.389404921716049e-006	2.702723e-003	0.000000e+000	3.071577e-004
5.398336437270784e-006	3.063812e-003	0.000000e+000	3.079563e-004
5.408102062270784e-006	3.167298e-003	0.000000e+000	3.001484e-004
5.417867687270783e-006	2.979979e-003	0.000000e+000	2.862174e-004
5.425851523502484e-006	2.652545e-003	0.000000e+000	2.729028e-004
5.433224322895231e-006	2.280207e-003	0.000000e+000	2.617032e-004
5.441319340169238e-006	1.897134e-003	0.000000e+000	2.529456e-004
5.449632420988977e-006	1.620404e-003	0.000000e+000	2.490591e-004
5.459398045988976e-006	1.501105e-003	0.000000e+000	2.506931e-004
5.469163670988976e-006	1.597146e-003	0.000000e+000	2.568934e-004
5.478683999201671e-006	1.848749e-003	0.000000e+000	2.645879e-004
5.488299409298181e-006	2.159724e-003	0.000000e+000	2.707731e-004
5.498065034298180e-006	2.422159e-003	0.000000e+000	2.730190e-004
5.507830659298180e-006	2.549143e-003	0.000000e+000	2.703413e-004
5.517596284298179e-006	2.510014e-003	0.000000e+000	2.635138e-004
5.527361909298179e-006	2.330640e-003	0.000000e+000	2.545696e-004
5.537127534298179e-006	2.078874e-003	0.000000e+000	2.460007e-004
5.546893159298178e-006	1.838207e-003	0.000000e+000	2.399106e-004
5.556658784298178e-006	1.679375e-003	0.000000e+000	2.373861e-004
5.566424409298177e-006	1.639182e-003	0.000000e+000	2.382621e-004
5.576190034298177e-006	1.712515e-003	0.000000e+000	2.413137e-004
5.585955659298177e-006	1.858630e-003	0.000000e+000	2.447650e-004
5.595721284298176e-006	2.018130e-003	0.000000e+000	2.469178e-004
5.605486909298176e-006	2.134004e-003	0.000000e+000	2.466849e-004
5.615252534298175e-006	2.169583e-003	0.000000e+000	2.438703e-004
5.625018159298175e-006	2.117995e-003	0.000000e+000	2.391321e-004
5.634783784298175e-006	2.001054e-003	0.000000e+000	2.336774e-004
5.644549409298174e-006	1.859101e-003	0.000000e+000	2.288157e-004
5.654315034298174e-006	1.736051e-003	0.000000e+000	2.255285e-004
5.664080659298173e-006	1.664962e-003	0.000000e+000	2.241915e-004
5.673846284298173e-006	1.658667e-003	0.000000e+000	2.245221e-004
5.683611909298173e-006	1.707914e-003	0.000000e+000	2.257421e-004
5.693377534298172e-006	1.786772e-003	0.000000e+000	2.268815e-004
5.703143159298172e-006	1.862771e-003	0.000000e+000	2.271103e-004
5.712908784298171e-006	1.908010e-003	0.000000e+000	2.259876e-004
5.722674409298171e-006	1.907572e-003	0.000000e+000	2.235601e-004
5.732440034298171e-006	1.862855e-003	0.000000e+000	2.202924e-004
5.742205659298170e-006	1.789319e-003	0.000000e+000	2.168726e-004
5.751971284298170e-006	1.709978e-003	0.000000e+000	2.139666e-004
5.761736909298169e-006	1.647200e-003	0.000000e+000	2.120079e-004
5.771502534298169e-006	1.615624e-003	0.000000e+000	2.110844e-004
5.781268159298169e-006	1.618326e-003	0.000000e+000	2.109481e-004
5.791033784298168e-006	1.647120e-003	0.000000e+000	2.111320e-004
5.800799409298168e-006	1.686416e-003	0.000000e+000	2.111234e-004
5.810565034298167e-006	1.719037e-003	0.000000e+000	2.105332e-004
5.820330659298167e-006	1.731883e-003	0.000000e+000	2.092065e-004
5.830096284298167e-006	1.719679e-003	0.000000e+000	2.072462e-004
5.839861909298166e-006	1.685796e-003	0.000000e+000	2.049518e-004
5.849627534298166e-006	1.640211e-003	0.000000e+000	2.027012e-004
5.859393159298165e-006	1.595585e-003	0.000000e+000	2.008211e-004
5.869158784298165e-006	1.562911e-003	0.000000e+000	1.994881e-004
5.878924409298165e-006	1.548177e-003	0.000000e+000	1.986886e-004
5.888690034298164e-006	1.550998e-003	0.000000e+000	1.982439e-004
5.898455659298164e-006	1.565449e-003	0.000000e+000	1.978857e-004
5.908221284298163e-006	1.582569e-003	0.000000e+000	1.973522e-004
5.917986909298163e-006	1.593570e-003	0.000000e+000	1.964706e-004
5.927752534298163e-006	1.592629e-003	0.000000e+000	1.952031e-004
5.937518159298162e-006	1.578428e-003	0.000000e+000	1.936436e-004
5.947283784298162e-006	1.554079e-003	0.000000e+000	1.919733e-004
5.957049409298161e-006	1.525632e-003	0.000000e+000	1.903928e-004
5.966815034298161e-006	1.499816e-003	0.000000e+000	1.890557e-004
5.976580659298161e-006	1.481808e-003	0.000000e+000	1.880243e-004
5.986346284298160e-006	1.472689e-003	0.000000e+000	1.872451e-004
5.997000000000001e-006	1.474038e-003	0.000000e+000	1.866095e-004
6.000000000000000e-006	1.476073e-003	0.000000e+000	1.864418e-004
6.001000000000000e-006	1.476822e-003	0.000000e+000	1.863847e-004
6.001001192861530e-006	1.476825e-003	3.936443e-003	1.863846e-004
6.001003578584589e-006	1.476830e-003	1.180933e-002	1.863845e-004
6.001008350030708e-006	1.476852e-003	2.755510e-002	1.863842e-004
6.001014116365245e-006	1.476934e-003	4.658401e-002	1.863839e-004
6.001025649034317e-006	1.477453e-003	8.464181e-002	1.863832e-004
6.001048714372462e-006	1.480302e-003	1.607574e-001	1.863819e-004
6.001078782302489e-006	1.488679e-003	2.599816e-001	1.863801e-004
6.001108853283916e-006	1.504308e-003	3.592158e-001	1.863784e-004
6.001134116603916e-006	1.525989e-003	4.425848e-001	1.863769e-004
6.001163207079936e-006	1.562829e-003	5.385833e-001	1.863752e-004
6.001189427587356e-006	1.611777e-003	6.251110e-001	1.863737e-004
6.001237530994022e-006	1.744420e-003	7.838523e-001	1.863709e-004
6.001292952734472e-006	1.980387e-003	9.667440e-001	1.863677e-004
6.001377666622418e-006	2.550788e-003	1.246300e+000	1.863627e-004
6.001480129219525e-006	3.675411e-003	1.584426e+000	1.863564e-004
6.001631205929011e-006	6.289903e-003	2.082980e+000	1.863460e-004
6.001778514386526e-006	9.809247e-003	2.569098e+000	1.863345e-004
6.001819003600427e-006	1.106618e-002	2.702712e+000	1.863307e-004
6.001899982028229e-006	1.414647e-002	2.969941e+000	1.863215e-004
